,,,,,,,,,,,,,,,,,,,,,,,
Name,Team,Pos,GP,G,A,+/-,PIM,PPG,PPA,SHG,SHA,Sht,HIT,BLK,GWG,HAT,W,L,T,SHo,GA,SV,GAA
"Johnson, Jack",CLM,D,77,5,21,8,30,1,1,0,1,119,99,122,1,0,0,0,0,0,0,0,0
"Johnson, Erik",COL,D,63,4,19,-9,12,0,3,0,0,113,92,81,1,0,0,0,0,0,0,0,0
"Jokinen, Jussi",EDM,LW,75,13,15,-3,40,3,5,1,1,139,34,40,2,0,0,0,0,0,0,0,0
"Jones, Martin",SAN,G,62,0,0,0,0,0,0,0,0,0,0,0,0,0,30,25,0,4,152,1609,2.45
"Jones, Seth",CLM,D,77,11,31,8,20,2,7,0,0,161,55,99,2,0,0,0,0,0,0,0,0
"Josi, Roman",NAS,D,78,13,38,3,32,6,13,0,1,208,55,133,2,0,0,0,0,0,0,0,0
"Jost, Tyson",COL,C,37,10,9,-9,44,2,4,0,0,102,45,17,2,0,0,0,0,0,0,0,0
"Kadri, Nazem",TOR,C,78,21,26,-4,77,11,4,0,0,211,124,38,4,0,0,0,0,0,0,0,0
"Kamenev, Vladislav",NAS,C,44,9,13,2,10,0,1,0,0,100,19,4,0,0,0,0,0,0,0,0,0
"Kane, Evander",BUF,LW,72,24,16,-11,100,5,7,0,0,256,144,30,4,0,0,0,0,0,0,0,0
"Kane, Patrick",CHI,RW,82,36,58,14,32,11,19,0,1,289,26,13,7,2,0,0,0,0,0,0,0
"Karlsson, Erik",OTT,D,71,15,49,6,24,5,25,0,1,213,55,167,4,0,0,0,0,0,0,0,0
"Keith, Duncan",CHI,D,79,8,37,16,20,3,11,0,1,169,22,113,3,0,0,0,0,0,0,0,0
"Keller, Clayton",ARI,C,47,13,14,-11,38,2,5,0,0,122,43,13,2,0,0,0,0,0,0,0,0
"Kesler, Ryan",ANA,C,80,22,34,5,80,6,11,0,0,171,150,81,3,0,0,0,0,0,0,0,0
"Kessel, Phil",PIT,RW,82,25,38,4,20,9,17,0,1,233,11,14,4,1,0,0,0,0,0,0,0
"Khudobin, Anton",BOS,G,20,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,50,493,2.5
"Killorn, Alex",TAM,C,81,16,21,-2,55,3,5,1,1,170,80,24,3,0,0,0,0,0,0,0,0
"Kinkaid, Keith",NJD,G,21,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,62,587,2.95
"Klefbom, Oscar",EDM,D,81,12,31,10,34,2,11,0,0,200,44,139,2,0,0,0,0,0,0,0,0
"Klingberg, John",DAL,D,78,12,39,11,32,3,15,0,0,137,43,89,3,0,0,0,0,0,0,0,0
"Koivu, Mikko",MIN,C,81,17,40,11,37,4,11,1,1,140,36,60,3,0,0,0,0,0,0,0,0
"Komarov, Leo",TOR,LW,78,19,18,4,34,3,5,1,1,139,221,55,2,0,0,0,0,0,0,0,0
"Konecny, Travis",PHI,C,78,14,16,-4,56,5,6,0,0,164,102,34,2,0,0,0,0,0,0,0,0
"Kopitar, Anze",LOS,C,77,19,40,11,24,4,13,1,1,177,78,61,4,0,0,0,0,0,0,0,0
"Korpisalo, Joonas",CLM,G,18,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,51,482,2.83
"Kreider, Chris",NYR,LW,77,26,24,11,60,7,6,0,1,191,144,30,4,0,0,0,0,0,0,0,0
"Krejci, David",BOS,C,74,17,32,2,30,4,11,0,1,143,41,49,2,0,0,0,0,0,0,0,0
"Krug, Torey",BOS,D,81,12,29,9,30,4,15,0,0,221,61,70,2,0,0,0,0,0,0,0,0
"Kucherov, Nikita",TAM,RW,77,34,44,11,34,11,15,0,0,249,45,22,5,0,0,0,0,0,0,0,0
"Kuemper, Darcy",LOS,G,22,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,0,58,563,2.64
"Kunitz, Chris",TAM,LW,75,14,20,4,40,1,4,0,0,139,221,31,2,0,0,0,0,0,0,0,0
"Kuznetsov, Evgeny",WAS,C,82,21,41,13,40,3,12,0,0,177,55,21,3,0,0,0,0,0,0,0,0
"Lack, Eddie",CGY,G,28,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,0,1,72,729,2.57
"Ladd, Andrew",NYI,LW,75,21,14,-9,44,4,3,1,1,146,122,43,2,0,0,0,0,0,0,0,0
"Laine, Patrik",WPG,RW,79,34,27,4,30,11,6,0,1,233,82,31,5,1,0,0,0,0,0,0,0
"Landeskog, Gabriel",COL,LW,75,21,28,-11,70,6,5,1,1,177,142,56,3,0,0,0,0,0,0,0,0
"Larkin, Dylan",DET,C,80,24,25,-12,40,7,4,1,1,217,69,24,3,0,0,0,0,0,0,0,0
"Leddy, Nick",NYI,D,81,7,35,-4,20,2,11,0,0,131,80,91,1,0,0,0,0,0,0,0,0
"Lee, Anders",NYI,C,80,26,23,0,54,8,4,0,0,193,166,33,5,0,0,0,0,0,0,0,0
"Lehner, Robin",BUF,G,60,0,0,0,0,0,0,0,0,0,0,0,0,0,26,28,0,2,154,1645,2.57
"Lehtonen, Kari",DAL,G,27,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,0,1,74,687,2.74
"Leivo, Josh",TOR,LW,35,7,9,-3,14,1,2,0,0,61,23,5,0,0,0,0,0,0,0,0,0
"Letang, Kris",PIT,D,67,9,36,5,56,4,17,0,1,167,100,85,2,0,0,0,0,0,0,0,0
"Letestu, Mark",EDM,C,80,15,20,0,20,4,3,1,1,131,69,33,3,0,0,0,0,0,0,0,0
"Liljegren, Timothy",TOR,D,37,2,9,-5,14,0,1,0,0,44,24,24,0,0,0,0,0,0,0,0,0
"Lindholm, Hampus",ANA,D,62,4,17,7,30,1,3,0,0,99,71,77,1,0,0,0,0,0,0,0,0
"Lindholm, Elias",CAR,RW,77,11,30,-11,20,2,11,1,2,157,100,44,2,0,0,0,0,0,0,0,0
"Little, Bryan",WPG,C,63,22,27,-9,20,5,9,0,0,131,44,22,3,0,0,0,0,0,0,0,0
"Lowry, Adam",WPG,LW,80,13,14,-2,50,3,5,1,1,131,199,52,1,0,0,0,0,0,0,0,0
"Lucic, Milan",EDM,LW,81,22,28,-2,62,5,11,0,1,171,211,22,3,0,0,0,0,0,0,0,0
"Lundqvist, Henrik",NYR,G,60,0,0,0,0,0,0,0,0,0,0,0,0,0,31,22,0,3,149,1606,2.48
"Luongo, Roberto",FLA,G,40,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,0,1,105,1066,2.63
"MacKinnon, Nathan",COL,C,78,22,34,-12,20,5,11,1,1,233,50,34,4,0,0,0,0,0,0,0,0
"Malkin, Evgeni",PIT,C,69,26,37,3,61,9,14,0,0,188,25,21,5,0,0,0,0,0,0,0,0
